symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
SJVN,1.17,7.24,-33.71,-12.1,-8.39,-5.65,-4.07,-2.89,-1.86,-0.89,0,0.93,1.66,2.46,3.2,3.91,4.7,5.61,6.67,8.06,9.85,12.69,23.64
PGHH,3.19,9.05,-57.22,-11.14,-7.46,-4.82,-3.06,-1.7,-0.65,0,0.26,1.49,2.76,4.16,5.27,6.44,7.57,8.73,10.03,11.77,13.75,17.15,39.43
COLPAL,2.75,9.34,-37.93,-12.71,-8.53,-6.18,-4.25,-2.82,-1.61,-0.31,0.77,1.99,3.05,3.96,5.03,6.16,7.44,8.61,9.92,11.47,13.64,17.42,35.49
POWERINDIA,12.16,9.34,-8.86,-1.5,1.52,3.52,4.45,5.41,5.94,6.76,7.37,8.43,9.58,11.13,14.39,16.69,18.21,19.37,20.61,23.4,26.18,28.5,32.87
ICICIGI,3.19,9.85,-71.2,-11.08,-7.94,-5.77,-4.07,-2.12,-1.08,0.15,1.24,2.41,3.18,4.06,5.36,6.42,8.16,10.09,11.65,13.3,15.27,17.49,36.17
NESTLEIND,2.55,9.87,-24.28,-8.88,-5.02,-2.93,-1.09,0,0,0,0,0,0,0,1.37,2.43,4.13,5.45,7.05,8.78,11.17,14.19,81.13
ALKEM,2.76,9.9,-25.56,-12.38,-9.8,-8.04,-6.72,-5,-3.27,-2.18,-0.79,0.72,2.67,4.12,6,7.68,9.31,10.9,12.05,13.55,15.43,18.36,27.89
POWERGRID,0.79,9.92,-59.82,-14,-8.98,-6.75,-4.93,-3.6,-2.66,-1.69,-0.7,0.36,1.32,2.42,3.4,4.4,5.49,6.59,7.83,9.23,11.28,14.51,36.32
ASIANPAINT,4.31,9.93,-38.94,-13.25,-7.51,-5.21,-3.29,-1.55,-0.01,1.39,2.8,4.16,5.58,6.83,7.97,9.1,10.13,11.09,12.39,13.68,15.39,18.03,35.48
DABUR,3.72,9.96,-85.53,-13.02,-8.7,-5.81,-3.55,-1.77,-0.44,0.92,2.11,3.21,4.2,5.22,6.25,7.42,8.49,9.73,11.07,12.95,15.4,19.08,45.05
ABBOTINDIA,3.49,10.27,-22.1,-9.12,-5.63,-3.36,-1.17,0,0,0,0,0,0,0,1.33,3.32,5.01,6.77,9.15,12.29,16.19,20.6,69.67
SYNGENE,3.23,10.36,-38.91,-13.89,-9.82,-6.34,-4.24,-2.98,-1.56,-0.58,0.71,1.93,3.15,4.62,5.98,7.2,8.09,9.36,10.67,12.46,15.17,21.67,39.98
SANOFI,2.68,10.4,-41.42,-14.98,-9.62,-6.76,-4.71,-3.15,-1.93,-0.67,0.61,1.74,2.79,3.91,4.98,6.32,7.64,9.1,10.51,12.25,14.73,19.63,37.02
HINDUNILVR,2.31,10.54,-52.09,-15.7,-11.11,-8.11,-5.94,-4.05,-2.3,-0.9,0.5,1.89,3.27,4.46,5.72,7.15,8.38,9.65,11.03,12.7,14.67,17.74,33.49
ORIENTREF,1.05,10.56,-74.94,-13.64,-8.74,-6.84,-4.85,-2.9,-1.3,0.02,1.04,1.94,2.82,3.58,4.23,4.97,5.56,6.41,7.5,8.76,10.42,12.86,40.33
PAPERPROD,1.05,10.56,-74.94,-13.64,-8.74,-6.84,-4.85,-2.9,-1.3,0.02,1.04,1.94,2.82,3.58,4.23,4.97,5.56,6.41,7.5,8.76,10.42,12.86,40.33
INFRATEL,1.05,10.56,-74.94,-13.64,-8.74,-6.84,-4.85,-2.9,-1.3,0.02,1.04,1.94,2.82,3.58,4.23,4.97,5.56,6.41,7.5,8.76,10.42,12.86,40.33
ADANIGAS,1.05,10.56,-74.94,-13.64,-8.74,-6.84,-4.85,-2.9,-1.3,0.02,1.04,1.94,2.82,3.58,4.23,4.97,5.56,6.41,7.5,8.76,10.42,12.86,40.33
NTPC,0.81,10.64,-58.97,-16.31,-12.09,-9.34,-6.92,-5.32,-3.86,-2.58,-1.54,-0.29,1.03,2.4,3.69,5.14,6.39,7.73,9.2,11.11,13.48,17.22,31.27
CASTROLIND,1.07,10.75,-97.01,-16.91,-11.23,-7.88,-5.44,-3.29,-1.46,0,0,0,0.74,1.09,1.4,3.29,5.04,7.12,9.44,11.74,14.44,17.62,32.42
AKZOINDIA,2.9,10.78,-51.37,-15.32,-10.03,-7.07,-5.09,-3.21,-1.88,-0.51,0.64,1.94,3.24,4.37,5.72,7.12,8.45,10.07,11.75,13.75,16.21,19.23,34.69
LALPATHLAB,4.21,10.81,-33.63,-14.63,-9.47,-7.32,-5.58,-3.86,-1.62,0.12,1.45,2.63,4.55,6.08,7.55,9.07,10.42,12.31,14.51,16.61,18.49,20.98,29.07
GLAXO,1.77,10.85,-70.18,-14.97,-11.27,-8.58,-6.61,-4.63,-2.82,-1.67,-0.58,0.62,1.87,3.17,4.69,6.32,7.76,9.24,11.03,12.99,15.25,18.28,52.5
NHPC,0.09,10.99,-38.61,-19.32,-13.88,-10.87,-8.51,-6.37,-4.6,-2.68,-1.27,0,0.83,1.73,2.76,4.1,5.23,6.86,8.69,11.23,13.86,17.11,34.5
COALINDIA,-0.45,11.15,-58.1,-18.23,-13.08,-10.21,-8.5,-6.91,-5.37,-4,-2.82,-1.67,-0.41,0.72,2.11,3.45,4.82,6.47,8.24,10.3,12.8,16.69,33.59
GODREJCP,4.11,11.21,-71.52,-14.45,-10,-7.11,-4.58,-2.71,-1,0.64,2.13,3.41,4.78,6.15,7.6,8.87,10.23,11.82,13.34,14.95,17.11,20.79,36.36
APOLLOHOSP,3.6,11.23,-55.48,-15.01,-9.84,-6.66,-4.62,-2.93,-1.43,-0.16,1.04,2.25,3.44,4.67,6.1,7.62,9.25,10.91,12.78,15.07,17.92,21.86,38.31
GILLETTE,2.18,11.37,-60.85,-15.61,-10.06,-7.26,-5.57,-4.23,-2.87,-1.69,-0.68,0.22,1.26,2.67,4.14,5.64,7.18,9.04,10.97,13.45,16.39,21.14,40.78
HEROMOTOCO,2.01,11.37,-52.09,-17.24,-12.22,-9.25,-6.89,-5.08,-3.35,-2.03,-0.5,0.92,2.15,3.42,4.92,6.34,8,9.64,11.33,13.82,16.71,20.05,37.04
PGHL,2.58,11.44,-37.85,-17.13,-11.92,-8.75,-6.43,-4.49,-2.69,-1.3,0.1,1.29,2.56,3.84,5.09,6.38,8.15,9.9,11.88,13.94,17.04,21.39,41.98
ITC,2.27,11.46,-84.56,-16.86,-11.36,-8.12,-5.78,-3.95,-2.2,-0.6,0.9,2.28,3.55,4.86,5.86,7.08,8.25,9.52,10.85,12.58,14.87,18.08,39.34
GRINDWELL,3.48,11.61,-50.57,-16.26,-9.73,-6.85,-4.56,-2.84,-1.6,-0.45,0.81,2.2,3.39,4.52,5.95,7.46,8.99,11.06,13.08,15.3,18.27,22.45,38.99
SFL,3.02,11.63,-30.66,-15.72,-11.18,-8.57,-6.82,-5.41,-3.66,-2.1,-0.69,1.05,2.62,4.16,5.53,7.85,9.51,11.54,13.18,15.28,17.99,21.65,36.25
DMART,6.59,11.64,-38.14,-13.47,-9.69,-6.91,-3.7,-1.46,0.68,3.08,4.72,6.32,7.93,9.49,10.95,12.6,13.89,15.09,16.81,18.75,21.02,23.39,33.29
SBICARD,6.46,11.64,-40.99,-8.48,-6.74,-4.8,-3.37,-2.17,-1.04,0.12,1.41,3.78,6.41,8.55,10.03,11.13,13.14,15.34,18.25,19.43,21.17,24.78,33.71
HDFCBANK,3.7,11.71,-66.89,-13.76,-9.23,-6.78,-4.37,-2.49,-0.94,0.42,1.85,3.16,4.48,5.76,6.93,8.09,9.17,10.38,11.92,13.73,15.87,19.66,60.14
MARICO,3.47,11.74,-57.54,-16.8,-10.18,-6.4,-3.71,-1.63,-0.22,0,1,2.5,3.73,4.83,6.12,7.58,8.93,10.25,11.71,13.61,16.48,22.21,50.29
STARCEMENT,-1.35,11.89,-42.07,-24.23,-16.58,-12.96,-10.35,-8.34,-6.51,-5.43,-4.2,-2.85,-1.18,0.16,1.63,3.67,4.91,6.84,9.11,11.88,14.08,17.78,25.74
PIIND,5.5,11.92,-42.09,-13.63,-9.16,-6.21,-4.08,-2.26,-0.71,0.85,2.39,3.72,5.12,6.68,8.44,9.96,11.51,13.27,14.96,16.95,19.77,24.87,44.06
IRCON,1.48,12.07,-40.38,-18.21,-14.22,-11.42,-9.12,-6.51,-4.47,-2.52,-0.07,1.33,2.54,4.49,5.69,6.7,7.82,9.22,11.14,13.26,16.03,20.04,34.95
VBL,5.11,12.18,-60.49,-12.94,-7.36,-4.72,-2.47,-0.98,0.43,1.64,2.87,4.03,5.55,6.87,8.6,10.05,11.42,12.93,14.28,15.72,18.71,23.87,32.45
PFIZER,2.07,12.27,-74.64,-18.74,-13.6,-9.9,-7.09,-4.82,-3.22,-1.69,-0.28,1.06,2.65,4.14,5.61,7.05,8.38,10.01,11.88,13.88,16.1,21.32,39.37
NH,1.01,12.32,-59.54,-21.33,-14.71,-10.89,-7.74,-5.06,-3.57,-2.37,-1.23,-0.32,1.05,2.77,4.58,5.95,7.34,8.81,11.24,13.74,16.38,20.17,29.15
BRITANNIA,3.41,12.34,-78.16,-15.99,-10.69,-7.69,-5.47,-3.5,-1.92,-0.62,0.71,2.02,3.3,4.62,6.13,7.76,9.73,11.73,13.92,16.23,18.89,22.49,58.08
BAYERCROP,2.62,12.37,-38.08,-16.67,-12.66,-10.06,-7.7,-5.65,-4.11,-2.35,-0.62,1.09,2.66,4.07,5.33,6.97,8.91,11.1,13.35,16.01,18.67,22.15,42.04
RITES,2.36,12.47,-52.12,-23.62,-13.59,-7.69,-5.57,-3.06,-1.4,0.03,1.59,2.84,4.3,5.69,6.97,8.22,9.19,10.79,12.14,13.88,15.86,18.29,26.64
HDFCLIFE,2.04,12.48,-77.48,-21.07,-12.57,-8.15,-6.09,-4.32,-2.52,-1.07,0.58,1.86,3.22,5.06,6.53,7.62,9.71,11.28,12.87,14.31,15.87,17.77,31.5
FINEORG,6.83,12.49,-31.51,-12.98,-9.2,-6.52,-4.81,-2.84,-0.79,1.13,2.82,4.8,6.27,8.11,10,11.83,14.12,16.02,18.49,21.79,24.78,26.93,36.87
THYROCARE,1.75,12.49,-26.98,-16.85,-14.18,-11.26,-8.62,-6.2,-4.73,-3.45,-1.95,-0.98,0.29,1.45,2.79,4.57,6.93,8.88,11.53,14.34,20.25,25.42,38.11
HATSUN,4.83,12.49,-48.95,-17.9,-11.96,-6.97,-3.37,-1.53,0.16,1.07,2.34,3.73,4.99,6.2,7.6,9.1,10.8,12.62,14.56,16.84,21.63,24.79,37.36
MIDHANI,1.37,12.5,-36.59,-18.16,-14.22,-10.48,-8.26,-6.71,-4.78,-3.02,-1.59,-0.59,0.77,2.62,4,5.23,6.58,7.96,10.09,12.6,16.37,25.57,38.91
MOIL,-0.62,12.62,-71.84,-20.02,-15.43,-12.71,-10.51,-8.51,-6.94,-5.25,-3.78,-2.2,-0.69,0.8,2.03,3.62,5.23,6.82,9.31,11.88,15.3,20.72,35.88
GALAXYSURF,2.98,12.64,-40.53,-18.66,-14.47,-10.7,-8.05,-6.11,-3.69,-1.77,-0.01,2.07,4.32,6.3,7.67,9.3,10.64,12.89,14.88,16.91,18.65,20.82,30.15
BOSCHLTD,3.03,12.65,-84.11,-17.55,-12.14,-8.63,-6.11,-4,-2.25,-0.73,0.85,2.36,3.64,4.82,6.24,7.67,9.21,10.82,12.7,14.73,17.82,23.59,43.37
GULFOILLUB,1.25,12.71,-62.4,-17.04,-11.33,-8.85,-7,-5.31,-3.99,-2.93,-1.65,-0.43,1.02,2.16,3.67,4.91,6.38,7.96,9.76,11.99,15.55,21.39,45.6
CROMPTON,3.44,12.72,-39.51,-21.4,-11.88,-7.68,-5.53,-3.56,-1.92,-0.75,0.87,2.86,4.74,6.33,8.08,9.72,11,12.34,13.85,15.88,18.73,21.82,32.38
MGL,1.93,12.83,-59.42,-19.58,-14.84,-11.64,-8.81,-6.75,-4.53,-2.39,-0.03,1.86,3.23,5.1,6.68,8.23,9.63,11.05,12.42,14.39,17.19,20.5,32.92
PAGEIND,5.16,12.87,-57.93,-18.41,-11.39,-7.17,-4.14,-2.13,-0.27,1.55,3.09,4.69,6.21,7.79,9.26,10.72,12.42,13.83,15.47,17.55,20.75,24.44,37.56
CRISIL,3.7,13,-78.13,-16.24,-10.96,-7.5,-5.41,-3.54,-2,-0.65,0.62,2.07,3.63,5.3,6.92,8.92,10.47,12.29,14.16,16.48,19.22,23.62,39.11
SBILIFE,1.9,13.01,-85.44,-21,-10.98,-6.66,-4.57,-2.61,-1.15,0.14,1.42,2.51,3.77,4.84,5.95,7.16,8.63,10.39,12.09,13.25,14.86,16.22,32.32
ZYDUSWELL,2.57,13.03,-57.24,-19.46,-13.49,-9.17,-6.4,-4.03,-2.28,-0.85,0.6,1.98,3.11,4.17,5.29,6.76,8.52,10.58,12.29,14.87,19.15,23.19,40.28
KANSAINER,3.26,13.05,-73.68,-18.23,-11.12,-7.51,-4.91,-2.81,-0.86,0.51,1.87,3.12,4.33,5.64,6.75,8.09,9.37,11.04,12.96,14.72,17.18,21.16,75.03
SUMICHEM,5.14,13.06,-25.26,-12.81,-9.77,-8.24,-6.08,-4.34,-2.87,-1.36,0.31,1.35,2.52,4.4,6.31,8.57,10.6,13.17,16.6,21.04,25.35,29.43,41.34
TCS,3.54,13.06,-83.75,-16.26,-9.61,-6.53,-4.04,-2.3,-0.66,0,0.73,2.01,3.38,4.63,5.94,7.36,8.86,10.4,12.2,14.23,16.59,22.14,66.88
OIL,-0.04,13.08,-107.87,-18.95,-14.31,-11.27,-9.08,-7.15,-5.14,-3.44,-1.91,-0.54,0.71,1.95,3.25,4.9,6.26,8.12,9.67,11.72,15,18.69,38.56
SUNDARMFIN,3.77,13.17,-78.12,-16.11,-10.67,-7.72,-5.56,-3.52,-1.75,-0.2,1.18,2.51,3.93,5.34,6.62,8.16,9.62,11.23,13.37,16.11,19.94,24.94,49.73
LTI,7.06,13.42,-47.06,-15.04,-8.67,-4.59,-2.68,-0.71,1.16,3.13,4.8,5.8,7.45,8.72,10.4,12.25,15.37,17.06,19.08,21.71,24.25,26.35,34.48
ACC,2.05,13.46,-64.3,-20.51,-13.56,-9.51,-7.01,-4.92,-3.13,-1.71,-0.14,1.36,2.89,4.64,6.24,7.87,9.41,10.9,12.63,14.57,17.06,20.84,41.27
VSTIND,2.78,13.52,-75.84,-19.72,-11.57,-8.1,-6.11,-4.21,-2.57,-1.08,0.37,1.61,2.77,3.96,5.58,7.22,8.84,10.48,12.34,15.38,18.89,25.86,40.16
FORTIS,0.46,13.54,-62.07,-23.89,-15.06,-11.44,-8.99,-7.04,-5.35,-3.7,-1.99,-0.42,0.96,2.44,4.01,5.59,7.07,8.48,10.42,12.65,15.52,22.43,43.17
APLLTD,4.34,13.6,-33.73,-16.24,-12.03,-9.18,-6.81,-4.53,-3,-1.36,0.17,1.73,3.01,4.56,6.34,8.28,10.59,13.3,15.68,18.83,23.54,29.37,47.62
CADILAHC,3.16,13.63,-49.76,-19.2,-13.95,-10.44,-7.46,-5.12,-2.78,-0.87,0.73,2.27,3.96,5.5,6.88,8.42,10.19,12.12,14.07,16.31,18.9,22.76,52.56
GUJGASLTD,4.45,13.69,-33.33,-18.9,-13.51,-9.99,-6.67,-4.56,-2.81,-0.95,0.69,2.06,3.8,5.51,7.54,9.59,12.2,15.34,18.04,20.42,23.2,26.56,36.36
DBCORP,-1.78,13.71,-86.83,-25.13,-14.52,-10.15,-8.35,-6.69,-5.03,-3.59,-2.23,-1.27,0.01,1.13,2.43,3.8,5.02,6.21,7.78,9.32,11.42,14.48,28.64
TORNTPHARM,3.71,13.73,-66.2,-20.78,-12.67,-8.8,-5.99,-3.71,-1.72,0.13,1.8,3.37,4.77,6.15,7.66,9.12,10.63,12.04,13.93,16.22,18.82,24.7,43.4
BERGEPAINT,5.04,13.83,-75.57,-18.71,-11.66,-7.78,-4.92,-2.66,-0.73,1.01,2.74,4.39,5.89,7.53,9.28,10.87,12.28,13.98,15.72,18.14,21.14,25.61,47.5
ICICIPRULI,1.9,13.91,-106.11,-20.18,-13.97,-9.6,-7.4,-5.64,-3.65,-1.86,-0.17,1.55,3.78,5.72,7.53,8.92,10.18,11.49,12.75,14.93,16.99,19.29,37.22
BHARTIARTL,2.66,13.91,-56.16,-22.08,-14.85,-11.22,-8.27,-5.52,-3.38,-1.5,0.05,1.64,3.34,4.68,6.35,8.16,10.16,11.9,14.07,16.27,19.43,23.97,44.44
ERIS,0.29,13.96,-50.79,-26.48,-20.18,-11.88,-9.02,-6.34,-4.6,-2.91,-1.59,-0.43,1.11,2.96,4.16,5.41,7.21,9.2,11.92,14.21,17.19,21.47,30.36
