symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
ABBOTINDIA,0.21,4.4,-10.97,-1.9,-1.42,-1.1,-0.87,-0.65,-0.47,-0.32,-0.16,-0.04,0.0,0.01,0.14,0.3,0.5,0.71,0.97,1.29,1.75,2.48,199.28
ACC,0.09,1.94,-13.69,-2.89,-2.03,-1.58,-1.26,-1.01,-0.75,-0.57,-0.36,-0.18,-0.01,0.18,0.4,0.62,0.86,1.13,1.42,1.78,2.4,3.34,12.56
ADANIGREEN,0.71,3.72,-6.76,-4.98,-4.56,-2.91,-2.28,-1.83,-1.3,-0.81,-0.46,-0.09,0.43,0.63,1.06,1.51,2.21,3.23,4.54,4.95,4.99,5.0,19.19
ALKEM,0.08,1.78,-8.34,-2.32,-1.82,-1.53,-1.21,-0.96,-0.68,-0.5,-0.32,-0.13,-0.01,0.15,0.3,0.48,0.67,0.91,1.17,1.5,1.99,3.02,14.94
AMBUJACEM,0.08,2.11,-11.05,-3.06,-2.28,-1.83,-1.42,-1.09,-0.82,-0.58,-0.36,-0.15,0.04,0.22,0.42,0.67,0.94,1.21,1.5,1.93,2.53,3.51,16.13
AUROPHARMA,0.25,3.41,-47.24,-3.86,-2.7,-2.09,-1.65,-1.3,-0.99,-0.75,-0.49,-0.26,-0.02,0.22,0.5,0.8,1.12,1.49,1.96,2.57,3.49,5.28,87.92
BAJAJHLDNG,0.11,2.36,-63.79,-2.9,-2.01,-1.5,-1.17,-0.88,-0.63,-0.42,-0.26,-0.09,0.03,0.17,0.36,0.56,0.77,1.05,1.39,1.81,2.38,3.49,21.46
BANDHANBNK,0.32,3.85,-12.94,-4.36,-3.32,-2.47,-2.05,-1.7,-1.23,-0.92,-0.71,-0.37,-0.03,0.24,0.5,0.92,1.25,1.62,2.35,3.0,4.17,6.02,39.32
BANKBARODA,0.15,2.92,-19.52,-4.09,-2.97,-2.29,-1.81,-1.41,-1.06,-0.76,-0.49,-0.25,-0.03,0.22,0.47,0.8,1.17,1.55,2.01,2.53,3.3,4.66,36.08
BERGEPAINT,0.21,3.27,-18.52,-3.23,-2.36,-1.73,-1.36,-1.03,-0.74,-0.46,-0.23,0.0,0.0,0.07,0.25,0.51,0.83,1.16,1.52,2.04,2.78,4.17,127.27
BIOCON,0.24,9.3,-84.79,-3.11,-2.27,-1.75,-1.38,-1.08,-0.83,-0.6,-0.41,-0.21,-0.03,0.16,0.36,0.6,0.85,1.07,1.43,1.94,2.64,3.78,496.31
BOSCHLTD,0.11,1.8,-9.37,-2.49,-1.76,-1.32,-1.02,-0.78,-0.59,-0.42,-0.27,-0.13,-0.01,0.1,0.26,0.41,0.62,0.84,1.13,1.49,2.09,3.1,17.68
CADILAHC,0.29,6.63,-55.91,-2.89,-2.08,-1.67,-1.3,-1.0,-0.77,-0.56,-0.35,-0.16,0.0,0.13,0.33,0.55,0.77,1.03,1.41,1.81,2.42,3.67,121.36
COLPAL,0.09,1.65,-9.3,-2.21,-1.66,-1.31,-1.06,-0.81,-0.62,-0.47,-0.32,-0.17,-0.04,0.08,0.23,0.42,0.6,0.81,1.1,1.47,1.97,2.84,20.22
CONCOR,0.13,2.06,-12.61,-2.81,-2.07,-1.53,-1.19,-0.9,-0.68,-0.47,-0.28,-0.12,0.01,0.18,0.35,0.54,0.75,1.05,1.36,1.75,2.35,3.42,26.67
DABUR,0.11,2.12,-52.98,-2.7,-1.86,-1.48,-1.19,-0.93,-0.68,-0.48,-0.29,-0.11,0.05,0.21,0.38,0.59,0.8,1.05,1.33,1.68,2.2,3.27,15.39
DLF,0.06,3.38,-28.56,-4.88,-3.53,-2.82,-2.2,-1.71,-1.3,-0.92,-0.54,-0.23,0.05,0.37,0.62,0.95,1.31,1.79,2.27,2.83,3.72,5.22,18.38
